Date : 2024-05-23 17:29:33
Directory : /Users/zaid/Bloom/bloom/src
Total : 99 files,  5929 codes, 182 comments, 730 blanks, all 6841 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         95 |      5,722 |        174 |        698 |      6,594 |
| CSS            |          1 |        154 |          0 |         23 |        177 |
| TypeScript     |          3 |         53 |          8 |          9 |         70 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/zaid/Bloom/bloom/src/components/Recruiter/Listing/ApplicantDisplay.tsx              | TypeScript JSX |        112 |          0 |          2 |        114 |
| /Users/zaid/Bloom/bloom/src/components/Recruiter/Listing/Listing.tsx                       | TypeScript JSX |        171 |          1 |         14 |        186 |
| /Users/zaid/Bloom/bloom/src/components/Recruiter/RecruiterContent/EditInput.tsx            | TypeScript JSX |         10 |          0 |          2 |         12 |
| /Users/zaid/Bloom/bloom/src/components/Recruiter/RecruiterContent/EditRecruiter.tsx        | TypeScript JSX |        172 |          0 |         15 |        187 |
| /Users/zaid/Bloom/bloom/src/components/Recruiter/RecruiterContent/RecruiterContent.tsx     | TypeScript JSX |         74 |         30 |         11 |        115 |
| /Users/zaid/Bloom/bloom/src/components/Recruiter/Sidebar/Sidebar.tsx                       | TypeScript JSX |         44 |          4 |          5 |         53 |
| /Users/zaid/Bloom/bloom/src/components/SignUp/LeftColomn/LeftColomn.tsx                    | TypeScript JSX |         16 |          0 |          1 |         17 |
| /Users/zaid/Bloom/bloom/src/components/SignUp/RightColomnSeeker/RightColomnSeeker.tsx      | TypeScript JSX |        264 |          0 |         29 |        293 |
| /Users/zaid/Bloom/bloom/src/components/navbar/Navbar.tsx                                   | TypeScript JSX |         91 |          4 |         14 |        109 |
| /Users/zaid/Bloom/bloom/src/components/ui/button.tsx                                       | TypeScript JSX |         51 |          0 |          6 |         57 |
| /Users/zaid/Bloom/bloom/src/components/ui/card.tsx                                         | TypeScript JSX |         71 |          0 |          9 |         80 |
| /Users/zaid/Bloom/bloom/src/components/ui/carousel.tsx                                     | TypeScript JSX |        232 |          0 |         31 |        263 |
| /Users/zaid/Bloom/bloom/src/lib/CountryList/CountryList.tsx                                | TypeScript JSX |        202 |          0 |          1 |        203 |
| /Users/zaid/Bloom/bloom/src/lib/Signout/Signout.tsx                                        | TypeScript JSX |          7 |          0 |          3 |         10 |
| /Users/zaid/Bloom/bloom/src/lib/Years/Years.tsx                                            | TypeScript JSX |          7 |          0 |          3 |         10 |
| /Users/zaid/Bloom/bloom/src/lib/getAJob/getAJob.tsx                                        | TypeScript JSX |         14 |          0 |          3 |         17 |
| /Users/zaid/Bloom/bloom/src/lib/getCompany/getCompany.tsx                                  | TypeScript JSX |         12 |          0 |          2 |         14 |
| /Users/zaid/Bloom/bloom/src/lib/getJobs/getJobs.tsx                                        | TypeScript JSX |         17 |          0 |          3 |         20 |
| /Users/zaid/Bloom/bloom/src/lib/getUser/getUser.tsx                                        | TypeScript JSX |         10 |          0 |          1 |         11 |
| /Users/zaid/Bloom/bloom/src/lib/utils.ts                                                   | TypeScript     |          5 |          0 |          2 |          7 |
| Total                                                                                      |                |      5,929 |        182 |        730 |      6,841 |
+--------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
